"id","name","description"
"0","Leader","Before the battle, CHARACTER units with the Leader ability can be attached to one of their Bodyguard units to form an Attached unit.
Attached units can only contain one Leader.
Attacks cannot be allocated to CHARACTER models in Attached units."
"1","Pistol","Can be shot even if the bearer’s unit is within Engagement Range of enemy units, but must target one of those enemy units.
Cannot be shot alongside any other non-Pistol weapon (except by a MONSTER or VEHICLE)."
"2","Devastating Wounds","A Critical Wound inflicts mortal wounds equal to the weapon’s Damage characteristic, instead of any normal damage."
"3","Hazardous","After a unit shoots or fights, roll one Hazardous test (one D6) for each Hazardous weapon used. For each 1, a model equipped with a hazardous weapon suffers 3 mortal wounds, that must be allocated to the selected model."
"4","Rites of Battle","Once per battle round, one unit from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP."
"5","Finest Hour","Once per battle, at the start of the Fight phase, this model can use this ability. If it does, until the end of the phase, add 3 to the Attacks characteristic of melee weapons equipped by this model and those weapons have the [DEVASTATING WOUNDS] ability."
"6","Relic Shield","The bearer has a Wounds characteristic of 6."
"7","Tactical Precision","While this model is leading a unit, weapons equipped by models in that unit have the [LETHAL HITS] ability."
"8","Target Priority","This model’s unit is eligible to shoot and declare a charge in a turn in which it Fell Back."
"9","Storm Shield","The bearer has a 4+ invulnerable save."
"10","Objective Secured"," If you control an objective marker at the end of your Command phase and this unit is within range of that objective marker, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn."
"11","Target Elimination","Each time this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, add 2 to the Attacks characteristic of bolt rifles equipped by models in this unit and you can only select one enemy unit as the target of all of this unit’s attacks."
